index,name,qol,cost_of_living,purchasing_power,safety
1,Finland,99.06,63.75,91.00,73.16
2,Denmark,98.13,73.09,99.76,73.66
3,Norway,96.75,85.93,86.27,66.49
4,Belgium,96.53,62.80,86.27,53.29
5,Sweden,96.15,61.77,94.93,51.23
6,Switzerland,94.4,110.34,116.19,77.88
7,Netherlands,93.69,67.71,99.58,72.43
8,France,92.08,65.55,79.61,45.61
9,Germany,91.26,59.62,102.75,62.99
10,Japan,91.23,62.77,91.13,77.76
11,"United Kingdom",90.68,60.42,92.86,53.38
12,Canada,90.3,68.78,101.67,56.37
13,"South Korea",89.67,66.95,81.30,73.87
14,"United States",89.11,69.92,99.88,51.59
15,Taiwan,88.73,55.95,61.78,83.85
16,Austria,88.52,64.11,75.09,73.18
17,Australia,88.23,72.27,117.56,55.17
18,Ireland,87.76,66.73,75.20,54.13
19,Singapore,87.64,79.09,94.65,72.78
20,Spain,87.62,47.51,77.29,65.03
21,Italy,86.85,58.47,58.00,53.76
22,"Czech Republic",86.6,44.33,69.94,74.22
23,Portugal,86.38,42.18,47.89,68.47
24,"New Zealand",86.02,68.96,85.02,55.39
25,Luxembourg,85.08,72.15,96.13,64.42
26,Iceland,84.96,86.59,82.62,75.70
27,Liechtenstein,84.75,0.0,0.0,0.0
28,"Hong Kong",84.64,76.55,66.93,78.38
29,Israel,84.43,77.28,73.54,67.82
30,"United Arab Emirates",83.79,58.01,118.94,85.13
31,Greece,83.39,50.23,38.39,52.03
32,Cyprus,83.39,52.48,54.47,68.94
33,Hungary,83.26,34.64,53.24,66.09
34,Malta,83.04,57.71,44.80,56.28
35,India,82.95,23.89,76.44,55.43
36,Estonia,82.87,49.47,60.41,75.86
37,China,82.8,40.31,56.24,71.18
38,Thailand,82.69,38.62,30.82,61.08
39,Philippines,82.48,33.62,20.06,57.64
40,Brazil,82.38,34.81,27.28,33.21
41,Malaysia,82.34,34.41,59.41,45.63
42,Qatar,82.24,60.56,98.13,85.85
43,Russia,82.06,48.07,42.22,60.68
44,Argentina,81.93,32.13,33.64,35.91
45,Poland,81.82,35.06,60.65,67.87
46,Mexico,81.46,35.14,41.10,46.10
47,Slovakia,81.08,41.03,53.84,69.46
48,Algeria,80.96,0.0,0.0,46.75
49,Brunei,80.83,0.0,0.0,70.45
50,Bhutan,80.78,0.0,0.0,0.0
51,Latvia,80.68,45.21,49.84,61.51
52,Croatia,80.11,43.74,52.79,76.01
53,Morocco,79.69,29.71,32.67,52.63
54,Tunisia,79.54,25.48,28.62,56.06
55,Bulgaria,79.46,37.58,46.90,61.63
56,Kuwait,79.39,46.00,81.76,66.99
57,Romania,79.08,34.93,48.84,67.50
58,Indonesia,78.86,32.20,25.52,53.94
59,Ukraine,78.86,30.70,36.29,53.43
60,Peru,78.77,30.74,28.52,32.76
61,Turkey,78.72,28.38,28.04,60.11
62,Vietnam,78.49,35.59,28.18,54.24
63,Panama,77.95,48.25,32.66,56.39
64,"South Africa",77.94,37.94,77.84,24.63
65,"Saudi Arabia",77.75,50.35,93.26,75.38
66,Lithuania,77.55,43.10,55.67,67.45
67,Chile,77.42,37.16,35.79,43.49
68,"Puerto Rico",77.35,64.58,65.41,38.23
69,Egypt,77.28,26.27,21.72,53.39
70,Bangladesh,77.22,29.28,25.34,36.94
71,Colombia,77.16,25.23,28.27,41.29
72,Lebanon,76.77,68.53,31.98,53.41
73,Slovenia,76.77,47.30,57.95,76.83
74,Bahrain,76.76,0.0,0.0,75.05
75,Uruguay,76.56,59.05,28.64,47.87
76,"Costa Rica",76.46,43.65,38.59,46.14
77,Belarus,76.46,26.39,32.31,42.82
78,Oman,76.32,48.11,78.78,80.28
79,Nepal,75.66,0.0,0.0,62.23
80,Ecuador,75.52,35.73,33.55,42.13
81,Nigeria,75.49,30.01,8.25,35.91
82,Kazakhstan,75.45,26.45,35.23,46.96
83,Tanzania,75.11,0.0,0.0,44.21
84,Iraq,74.89,0.0,0.0,53.83
85,Kenya,74.8,33.36,32.19,43.67
86,Uzbekistan,74.79,0.0,0.0,66.32
87,Serbia,74.13,33.35,41.56,61.82
88,Guatemala,74.11,0.0,0.0,42.01
89,Venezuela,73.66,41.77,12.72,16.84
90,Paraguay,73.59,0.0,0.0,50.99
91,Uganda,73.21,0.0,0.0,44.41
92,"Sri Lanka",73.16,22.41,15.28,59.03
93,Iran,73.08,36.49,18.03,50.25
94,Ethiopia,73.05,0.0,0.0,50.58
95,Mauritius,72.95,0.0,0.0,51.22
96,Cuba,72.74,0.0,0.0,68.28
97,Angola,72.57,0.0,0.0,33.34
98,Ghana,72.03,0.0,0.0,53.75
99,Moldova,72.03,0.0,0.0,52.57
100,"North Macedonia",72.02,28.51,35.57,59.03
101,Myanmar,71.38,0.0,0.0,52.17
102,Jordan,71.15,47.53,32.23,58.99
103,Azerbaijan,71.01,28.33,29.36,68.27
104,Zimbabwe,70.64,0.0,0.0,40.39
105,Cameroon,70.61,0.0,0.0,34.74
106,Turkmenistan,70.55,0.0,0.0,0.0
107,"Dr Congo",70.36,0.0,0.0,0.0
108,Libya,70.31,0.0,0.0,39.41
109,"Ivory Coast",70.14,0.0,0.0,0.0
110,Yemen,69.43,0.0,0.0,0.0
111,Cambodia,69.18,0.0,0.0,48.28
112,"El Salvador",68.99,0.0,0.0,32.41
113,Albania,68.96,0.0,0.0,52.99
114,Georgia,68.73,34.85,25.13,74.75
115,Botswana,68.58,0.0,0.0,46.30
116,Afghanistan,68.5,0.0,0.0,21.81
117,Mali,68.09,0.0,0.0,0.0
118,Gabon,68.06,0.0,0.0,0.0
119,Maldives,67.65,0.0,0.0,44.87
120,Jamaica,65.01,0.0,0.0,31.71
121,Mozambique,64.71,0.0,0.0,37.06
122,"Burkina Faso",64.42,0.0,0.0,0.0
123,Mongolia,63.84,0.0,0.0,45.54
124,Namibia,62.25,0.0,0.0,35.03
125,Armenia,61.62,0.0,0.0,78.25
126,Guinea,60.96,0.0,0.0,0.0
127,Madagascar,59.95,0.0,0.0,0.0
128,Chad,58.23,0.0,0.0,0.0
129,Pakistan,57.18,17.78,24.45,58.44
130,"Equatorial Guinea",56.8,0.0,0.0,0.0
131,Benin,53.41,0.0,0.0,0.0
132,"Republic Of The Congo",52.4,0.0,0.0,0.0
133,Rwanda,51.26,0.0,0.0,74.46
134,Niger,49.43,0.0,0.0,0.0
135,Haiti,46.91,0.0,0.0,0.0
136,Kyrgyzstan,44.81,0.0,0.0,44.12
137,Somalia,44.73,0.0,0.0,33.59
138,Eritrea,43.95,0.0,0.0,0.0
139,Malawi,42.25,0.0,0.0,0.0
140,Tajikistan,41.6,0.0,0.0,0.0
141,Togo,40.95,0.0,0.0,0.0
142,Montenegro,38.56,0.0,0.0,59.61
143,Mauritania,38.08,0.0,0.0,0.0
144,Eswatini,37.77,0.0,0.0,0.0
145,Guyana,37.56,0.0,0.0,31.07
146,"Sierra Leone",37.3,0.0,0.0,0.0
147,Suriname,36.65,0.0,0.0,0.0
148,Burundi,36.55,0.0,0.0,0.0
149,"Timor Leste",36,0.0,0.0,0.0
150,Liberia,35.61,0.0,0.0,0.0
151,"South Sudan",35.52,0.0,0.0,0.0
152,Djibouti,35.39,0.0,0.0,0.0
153,"Central African Republic",35.13,0.0,0.0,0.0
154,"Cape Verde",34.81,0.0,0.0,0.0
155,Belize,34.78,0.0,0.0,48.03
156,Gambia,34.74,0.0,0.0,0.0
157,Seychelles,34.74,0.0,0.0,0.0
158,"San Marino",34.35,0.0,0.0,0.0
159,"Guinea Bissau",34.32,0.0,0.0,0.0
160,Dominica,34.19,0.0,0.0,0.0
161,Comoros,33.14,0.0,0.0,0.0
162,"North Korea",32.41,0.0,0.0,41.93
163,Montserrat,32.06,0.0,0.0,0.0
164,Sudan,31.67,0.0,0.0,54.41
165,Syria,31.55,0.0,0.0,32.53
