rank,name,index
1,Switzerland,110.34
2,Iceland,86.59
3,Norway,85.93
4,Singapore,79.09
5,Israel,77.28
6,"Hong Kong",76.55
7,Denmark,73.09
8,Australia,72.27
9,Luxembourg,72.15
10,"United States",69.92
11,"New Zealand",68.96
12,Canada,68.78
13,Lebanon,68.53
14,Netherlands,67.71
15,"South Korea",66.95
16,Ireland,66.73
17,France,65.55
18,"Puerto Rico",64.58
19,Austria,64.11
20,Finland,63.75
21,Belgium,62.80
22,Japan,62.77
23,Sweden,61.77
24,Qatar,60.56
25,"United Kingdom",60.42
26,Germany,59.62
27,Uruguay,59.05
28,Italy,58.47
29,"United Arab Emirates",58.01
30,Malta,57.71
31,Taiwan,55.95
32,Cyprus,52.48
33,"Saudi Arabia",50.35
34,Greece,50.23
35,Estonia,49.47
36,Panama,48.25
37,Oman,48.11
38,Russia,48.07
39,Jordan,47.53
40,Spain,47.51
41,Slovenia,47.30
42,Kuwait,46.00
43,Latvia,45.21
44,"Czech Republic",44.33
45,Croatia,43.74
46,"Costa Rica",43.65
47,Lithuania,43.10
48,Portugal,42.18
49,Venezuela,41.77
50,Slovakia,41.03
51,China,40.31
52,Thailand,38.62
53,"South Africa",37.94
54,Bulgaria,37.58
55,Chile,37.16
56,Iran,36.49
57,Ecuador,35.73
58,Vietnam,35.59
59,Mexico,35.14
60,Poland,35.06
61,Romania,34.93
62,Georgia,34.85
63,Brazil,34.81
64,Hungary,34.64
65,Malaysia,34.41
66,Philippines,33.62
67,Kenya,33.36
68,Serbia,33.35
69,"Bosnia And Herzegovina",32.24
70,Indonesia,32.20
71,Argentina,32.13
72,Peru,30.74
73,Ukraine,30.70
74,Nigeria,30.01
75,Morocco,29.71
76,Bangladesh,29.28
77,"North Macedonia",28.51
78,Turkey,28.38
79,Azerbaijan,28.33
80,Kazakhstan,26.45
81,Belarus,26.39
82,Egypt,26.27
83,Tunisia,25.48
84,Colombia,25.23
85,India,23.89
86,"Sri Lanka",22.41
87,Pakistan,17.78
