rank,name,index
1,"United Arab Emirates",118.94
2,Australia,117.56
3,Switzerland,116.19
4,Germany,102.75
5,Canada,101.67
6,"United States",99.88
7,Denmark,99.76
8,Netherlands,99.58
9,Qatar,98.13
10,Luxembourg,96.13
11,Sweden,94.93
12,Singapore,94.65
13,"Saudi Arabia",93.26
14,"United Kingdom",92.86
15,Japan,91.13
16,Finland,91.00
17,Norway,86.27
18,Belgium,86.27
19,"New Zealand",85.02
20,Iceland,82.62
21,Kuwait,81.76
22,"South Korea",81.30
23,France,79.61
24,Oman,78.78
25,"South Africa",77.84
26,Spain,77.29
27,India,76.44
28,Ireland,75.20
29,Austria,75.09
30,Israel,73.54
31,"Czech Republic",69.94
32,"Hong Kong",66.93
33,"Puerto Rico",65.41
34,Taiwan,61.78
35,Poland,60.65
36,Estonia,60.41
37,Malaysia,59.41
38,Italy,58.00
39,Slovenia,57.95
40,China,56.24
41,Lithuania,55.67
42,Cyprus,54.47
43,Slovakia,53.84
44,Hungary,53.24
45,Croatia,52.79
46,Latvia,49.84
47,Romania,48.84
48,Portugal,47.89
49,Bulgaria,46.90
50,"Bosnia And Herzegovina",46.51
51,Malta,44.80
52,Russia,42.22
53,Serbia,41.56
54,Mexico,41.10
55,"Costa Rica",38.59
56,Greece,38.39
57,Ukraine,36.29
58,Chile,35.79
59,"North Macedonia",35.57
60,Kazakhstan,35.23
61,Argentina,33.64
62,Ecuador,33.55
63,Morocco,32.67
64,Panama,32.66
65,Belarus,32.31
66,Jordan,32.23
67,Kenya,32.19
68,Lebanon,31.98
69,Thailand,30.82
70,Azerbaijan,29.36
71,Uruguay,28.64
72,Tunisia,28.62
73,Peru,28.52
74,Colombia,28.27
75,Vietnam,28.18
76,Turkey,28.04
77,Brazil,27.28
78,Indonesia,25.52
79,Bangladesh,25.34
80,Georgia,25.13
81,Pakistan,24.45
82,Egypt,21.72
83,Philippines,20.06
84,Iran,18.03
85,"Sri Lanka",15.28
86,Venezuela,12.72
87,Nigeria,8.25
