rank,name,index
1,Finland,99.06
2,Denmark,98.13
3,Norway,96.75
4,Belgium,96.53
5,Sweden,96.15
6,Switzerland,94.4
7,Netherlands,93.69
8,France,92.08
9,Germany,91.26
10,Japan,91.23
11,"United Kingdom",90.68
12,Canada,90.3
13,"South Korea",89.67
14,"United States",89.11
15,Taiwan,88.73
16,Austria,88.52
17,Australia,88.23
18,Ireland,87.76
19,Singapore,87.64
20,Spain,87.62
21,Italy,86.85
22,"Czech Republic",86.6
23,Portugal,86.38
24,"New Zealand",86.02
25,Luxembourg,85.08
26,Iceland,84.96
27,Liechtenstein,84.75
28,"Hong Kong",84.64
29,Israel,84.43
30,"United Arab Emirates",83.79
31,Greece,83.39
32,Cyprus,83.39
33,Hungary,83.26
34,Malta,83.04
35,India,82.95
36,Estonia,82.87
37,China,82.8
38,Thailand,82.69
39,Philippines,82.48
40,Brazil,82.38
41,Malaysia,82.34
42,Qatar,82.24
43,Russia,82.06
44,Argentina,81.93
45,Poland,81.82
46,Mexico,81.46
47,Slovakia,81.08
48,Algeria,80.96
49,Brunei,80.83
50,Bhutan,80.78
51,Latvia,80.68
52,Croatia,80.11
53,Morocco,79.69
54,Tunisia,79.54
55,Bulgaria,79.46
56,Kuwait,79.39
57,Romania,79.08
58,Indonesia,78.86
59,Ukraine,78.86
60,Peru,78.77
61,Turkey,78.72
62,Vietnam,78.49
63,Panama,77.95
64,"South Africa",77.94
65,"Saudi Arabia",77.75
66,Lithuania,77.55
67,Chile,77.42
68,"Puerto Rico",77.35
69,Egypt,77.28
70,Bangladesh,77.22
71,Colombia,77.16
72,Lebanon,76.77
73,Slovenia,76.77
74,Bahrain,76.76
75,Uruguay,76.56
76,"Costa Rica",76.46
77,Belarus,76.46
78,Oman,76.32
79,Nepal,75.66
80,Ecuador,75.52
81,Nigeria,75.49
82,Kazakhstan,75.45
83,Tanzania,75.11
84,Iraq,74.89
85,Kenya,74.8
86,Uzbekistan,74.79
87,Serbia,74.13
88,Guatemala,74.11
89,Venezuela,73.66
90,Paraguay,73.59
91,Uganda,73.21
92,"Sri Lanka",73.16
93,Iran,73.08
94,Ethiopia,73.05
95,Mauritius,72.95
96,Cuba,72.74
97,Angola,72.57
98,Ghana,72.03
99,Moldova,72.03
100,"North Macedonia",72.02
101,Myanmar,71.38
102,Jordan,71.15
103,Azerbaijan,71.01
104,Zimbabwe,70.64
105,Cameroon,70.61
106,Turkmenistan,70.55
107,"Dr Congo",70.36
108,Libya,70.31
109,"Ivory Coast",70.14
110,Yemen,69.43
111,Cambodia,69.18
112,"El Salvador",68.99
113,Albania,68.96
114,Georgia,68.73
115,Botswana,68.58
116,Afghanistan,68.5
117,Mali,68.09
118,Gabon,68.06
119,Maldives,67.65
120,Jamaica,65.01
121,Mozambique,64.71
122,"Burkina Faso",64.42
123,Mongolia,63.84
124,Namibia,62.25
125,Armenia,61.62
126,Guinea,60.96
127,Madagascar,59.95
128,Chad,58.23
129,Pakistan,57.18
130,"Equatorial Guinea",56.8
131,Benin,53.41
132,"Republic Of The Congo",52.4
133,Rwanda,51.26
134,Niger,49.43
135,Haiti,46.91
136,Kyrgyzstan,44.81
137,Somalia,44.73
138,Eritrea,43.95
139,Malawi,42.25
140,Tajikistan,41.6
141,Togo,40.95
142,Montenegro,38.56
143,Mauritania,38.08
144,Eswatini,37.77
145,Guyana,37.56
146,"Sierra Leone",37.3
147,Suriname,36.65
148,Burundi,36.55
149,"Timor Leste",36
150,Liberia,35.61
151,"South Sudan",35.52
152,Djibouti,35.39
153,"Central African Republic",35.13
154,"Cape Verde",34.81
155,Belize,34.78
156,Gambia,34.74
157,Seychelles,34.74
158,"San Marino",34.35
159,"Guinea Bissau",34.32
160,Dominica,34.19
161,Comoros,33.14
162,"North Korea",32.41
163,Montserrat,32.06
164,Sudan,31.67
165,Syria,31.55
